Folder_Name;Clean_Title;Search_Title;Platforms;Year_Folder;Path_Root;Path_Video;Untested;Metadata_Locked;Status_Flag;Summary;Genre;Developer;Publisher;Image_Link;Trailer_Link;Original_Release_Date;Remake_Release_Date;Developer / Publisher;Poster_URL;Empty
Broforce;Broforce;Broforce;Warez;;\\madhdd02\Software\GAMES\GAMES\ACTION\Broforce;\\madhdd02\Software\GAMES\GAMES\ACTION\Broforce.mp4;False;False;OK;When evil threatens the world, the world calls on Broforce - an under-funded, over-powered paramilitary organization dealing exclusively in excessive force. Brace your loins with up to four players to run ‘n’ gun as dozens of different bros and eliminate the opposing terrorist forces that threaten our way of life. Unleash scores of unique weapons and set off incredible chain reactions of fire, napalm, and limbs in the name of freedom.;Shooter, Platform, Indie, Arcade;;;./images\Broforce.jpg;;2015.0;;;images\Broforce.jpg;False
Ikaruga;Ikaruga;Ikaruga;Warez;;\\madhdd02\Software\GAMES\GAMES\ACTION\Ikaruga;\\madhdd02\Software\GAMES\GAMES\ACTION\Ikaruga.mp4;False;False;OK;"In this vertical scrolling spaceship shooter, you control a ship that can change its polarity at will. As blue/white, the ship can easily destroy red/black enemies, and visa versa. Bullets of your polarity can be collected to fuel your missile gauge, but those opposite will kill you. Destroying an enemy ship will make them drop points for you to pick up, but they are polarized, too. Different difficulties exist to change exactly how you interact with polarized points, or how they appear.

Ikaruga is a balls-hard shmup with lots of difficulty even at the easiest level, and lots of replay value for those willing to face the challenge.";Shooter, Arcade;;;./images\Ikaruga.jpg;;2002.0;;;images\Ikaruga.jpg;False
Power Of Ten;Power Of Ten;Power Of Ten;Warez;;\\madhdd02\Software\GAMES\GAMES\ACTION\Power Of Ten;\\madhdd02\Software\GAMES\GAMES\ACTION\Power Of Ten.mp4;False;False;OK;10ⁿ - TEN POWER N is a science & fiction strategy-simulation where you create, explore and conquer the universe from quantum foam to the cosmic expanse. Traverse 19 levels, manage more than 600 resources, defend your simulation. The universe isn't just yours to explore - it's yours to command!;Simulator, Strategy, Indie;;;./images\Power Of Ten.jpg;;;;;images\Power Of Ten.jpg;False
Super Hexagon;Super Hexagon;Super Hexagon;Warez;;\\madhdd02\Software\GAMES\GAMES\ACTION\Super Hexagon;\\madhdd02\Software\GAMES\GAMES\ACTION\Super Hexagon.mp4;False;False;OK;Super Hexagon is a minimal action game by Terry Cavanagh, with music by Chipzel.;Music, Indie, Arcade;;;./images\Super Hexagon.jpg;;2012.0;;;images\Super Hexagon.jpg;False
SUPERHOT;SUPERHOT;SUPERHOT;Warez;;\\madhdd02\Software\GAMES\GAMES\ACTION\SUPERHOT;\\madhdd02\Software\GAMES\GAMES\ACTION\SUPERHOT.mp4;False;False;OK;"SuperHot is the first person shooter where time moves only when you move. No regenerating health bars. No conveniently placed ammo drops. It's just you, outnumbered and outgunned, grabbing weapons off fallen enemies to shoot, slice, and maneuver through a hurricane of slow-motion bullets.

With its mesmerising gameplay and unique, stylized graphics SUPERHOT aims to finally add something new and disruptive to the FPS genre.

See the bullets crawling towards you as you carefully plan your steps and aim your gun. Enjoy the mayhem that is unleashed as you put that plan into motion.";Shooter, Puzzle, Tactical, Indie;;;./images\SUPERHOT.jpg;;2016.0;;;images\SUPERHOT.jpg;False
The Long Journey Home;The Long Journey Home;The Long Journey Home;Warez;;\\madhdd02\Software\GAMES\GAMES\ACTION\The Long Journey Home;\\madhdd02\Software\GAMES\GAMES\ACTION\The Long Journey Home.mp4;False;False;OK;The Long Journey Home combines the endless freedom of space with a new open questing system that always leaves you in command. Deliver the stranded Glukkt to his homeworld as he asks, or to your new slaver friends? Attempt to make allies with everyone, or pin your hopes on the tougher races, and hope they never turn on you? Jump by jump, make hard decisions and live with the consequences, in a universe that is never the same twice.;Role-playing (RPG), Simulator, Strategy, Adventure, Indie;;;./images\The Long Journey Home.jpg;;2017.0;;;images\The Long Journey Home.jpg;False
Arkanoid Eternal Battle;Arkanoid Eternal Battle;Arkanoid Eternal Battle;Warez;;\\madhdd02\Software\GAMES\GAMES\ARCADE\Arkanoid Eternal Battle;\\madhdd02\Software\GAMES\GAMES\ARCADE\Arkanoid Eternal Battle.mp4;False;False;OK;The return of the iconic block breaker game from prestigious Japanese video game company Taito!;Platform, Indie, Arcade;;;./images\Arkanoid Eternal Battle.jpg;;2022.0;;;images\Arkanoid Eternal Battle.jpg;False
Dragon's Lair Trilogy;Dragon's Lair Trilogy;Dragon's Lair Trilogy;Warez;;\\madhdd02\Software\GAMES\GAMES\ARCADE\Dragon's Lair Trilogy;\\madhdd02\Software\GAMES\GAMES\ARCADE\Dragon's Lair Trilogy.mp4;False;False;OK;Dragon's Lair Trilogy (includes Dragon's Lair, Dragon's Lair II: Time Warp, and Space Ace.;Puzzle, Adventure, Arcade;;;./images\Dragons Lair Trilogy.jpg;;2010.0;;;images\Dragon's Lair Trilogy.jpg;False
DropShip;DropShip;DropShip;Warez;;\\madhdd02\Software\GAMES\GAMES\ARCADE\DropShip;\\madhdd02\Software\GAMES\GAMES\ARCADE\DropShip.mp4;False;False;OK;DROPSHIP is a precision, gravity-bending, flying game that will test your skills and nerves. Use gravity to your advantage and drop to the landing pad before you run out of fuel!;Puzzle, Indie, Arcade;;;./images\DropShip.jpg;;2020.0;;;images\DropShip.jpg;False
Flowing Lights;Flowing Lights;Flowing Lights;Warez;;\\madhdd02\Software\GAMES\GAMES\ARCADE\Flowing Lights;\\madhdd02\Software\GAMES\GAMES\ARCADE\Flowing Lights.mp4;False;False;OK;"Flowing Lights is an Arcade Puzzle Shooter. Each fight is a puzzle. Attack and... Fail! ...Think back... try again! Got it? Improve with each try, there is always a smarter way to win!

Why is Flowing Lights different from other shooting games?
Puzzle elements! They offer a challenge for the brain on top of the immediate fun of destroying monsters. Deeper challenges, deeper sense of achievement!";Shooter, Puzzle, Indie, Arcade;;;./images\Flowing Lights.jpg;;2021.0;;;images\Flowing Lights.jpg;False
